method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,24.0
direct,0.02,150,150,0,100.0,33.22666666666667
direct,0.04,150,150,0,100.0,34.193333333333335
direct,0.06,150,150,0,100.0,34.89333333333333
direct,0.08,150,150,0,100.0,35.2
direct,0.1,150,150,0,100.0,35.42666666666667
A0,0.0,150,150,0,100.0,24.0
A0,0.02,150,150,0,100.0,70.55333333333333
A0,0.04,150,150,0,100.0,76.98
A0,0.06,150,150,0,100.0,79.78
A0,0.08,150,150,0,100.0,81.84
A0,0.1,150,150,0,100.0,84.98
OO,0.0,150,150,0,100.0,24.0
OO,0.02,150,150,0,100.0,33.63333333333333
OO,0.04,150,150,0,100.0,34.28666666666667
OO,0.06,150,150,0,100.0,34.60666666666667
OO,0.08,150,150,0,100.0,34.93333333333333
OO,0.1,150,150,0,100.0,35.26
