method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,25.0,25.0,0.0,0
direct,0.02,41.68,42.0,0.0,57
direct,0.04,42.4,42.59375,0.7545435292281023,22
direct,0.06,43.333333333333336,43.333333333333336,1.2736648783028535,0
direct,0.08,43.9,43.83561643835616,1.313926444743211,4
direct,0.1,44.346666666666664,44.27049180327869,0.5731261018496177,28
A0,0.0,25.0,25.0,0.0,0
A0,0.02,130.95333333333335,128.46923076923076,7.897602812088918,20
A0,0.04,144.22,144.22,10.615001962631315,0
A0,0.06,151.06666666666666,151.06666666666666,9.646185198765826,0
A0,0.08,155.18666666666667,155.18666666666667,7.966083660675984,0
A0,0.1,161.13333333333333,161.13333333333333,8.029667213250843,0
OO,0.0,25.0,25.0,0.0,0
OO,0.02,41.593333333333334,41.902255639097746,0.7742535736454739,17
OO,0.04,42.5,42.659574468085104,0.9364925299429256,9
OO,0.06,43.126666666666665,43.126666666666665,1.323110812525626,0
OO,0.08,43.34,43.34,1.4643770006388381,0
OO,0.1,43.96666666666667,44.325581395348834,0.6838422083020449,21
