method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,18.0
direct,0.02,150,150,0,100.0,17.993333333333332
direct,0.04,150,150,0,100.0,17.993333333333332
direct,0.06,150,150,0,100.0,18.106666666666666
direct,0.08,150,150,0,100.0,18.153333333333332
direct,0.1,150,150,0,100.0,18.253333333333334
A0,0.0,150,150,0,100.0,18.0
A0,0.02,150,150,0,100.0,19.7
A0,0.04,150,150,0,100.0,20.78
A0,0.06,150,150,0,100.0,21.12
A0,0.08,150,150,0,100.0,21.393333333333334
A0,0.1,150,150,0,100.0,21.786666666666665
OO,0.0,150,150,0,100.0,18.0
OO,0.02,150,150,0,100.0,18.026666666666667
OO,0.04,150,150,0,100.0,18.30666666666667
OO,0.06,150,150,0,100.0,18.546666666666667
OO,0.08,150,150,0,100.0,18.946666666666665
OO,0.1,150,150,0,100.0,19.226666666666667
