method,p,total,converged,not_converged,conv_rate(%),avg_iters
direct,0.0,150,150,0,100.0,18.0
direct,0.02,150,150,0,100.0,18.32
direct,0.04,150,150,0,100.0,18.946666666666665
direct,0.06,150,150,0,100.0,19.22
direct,0.08,150,150,0,100.0,19.473333333333333
direct,0.1,150,150,0,100.0,19.64666666666667
A0,0.0,150,150,0,100.0,18.0
A0,0.02,150,150,0,100.0,41.76
A0,0.04,150,150,0,100.0,47.12
A0,0.06,150,150,0,100.0,49.14
A0,0.08,150,150,0,100.0,50.8
A0,0.1,150,150,0,100.0,53.24666666666667
OO,0.0,150,150,0,100.0,18.0
OO,0.02,150,150,0,100.0,23.653333333333332
OO,0.04,150,150,0,100.0,28.653333333333332
OO,0.06,150,150,0,100.0,31.04
OO,0.08,150,150,0,100.0,33.04666666666667
OO,0.1,150,150,0,100.0,34.22666666666667
