method,p,raw_avg_iterations,filtered_avg_iterations,filtered_std,num_outliers_removed
direct,0.0,18.0,18.0,0.0,0
direct,0.02,18.32,18.32,0.466476151587624,0
direct,0.04,18.946666666666665,18.946666666666665,0.7374430298146577,0
direct,0.06,19.22,19.22,0.7989159321647471,0
direct,0.08,19.473333333333333,19.473333333333333,0.736628958310914,0
direct,0.1,19.64666666666667,19.64666666666667,0.578926209076386,0
A0,0.0,18.0,18.0,0.0,0
A0,0.02,41.76,41.32867132867133,3.340315767026179,7
A0,0.04,47.12,47.12,3.912237211622015,0
A0,0.06,49.14,49.14,3.8070636103607893,0
A0,0.08,50.8,50.8,3.4448028487370173,0
A0,0.1,53.24666666666667,53.24666666666667,3.322522468781145,0
OO,0.0,18.0,18.0,0.0,0
OO,0.02,23.653333333333332,23.610738255033556,2.185097203913358,1
OO,0.04,28.653333333333332,28.691275167785236,1.9104071348607827,1
OO,0.06,31.04,31.04,1.6119553343687907,0
OO,0.08,33.04666666666667,33.013422818791945,1.3560036882074928,1
OO,0.1,34.22666666666667,34.23664122137404,0.8086560433637637,19
